movie_title,comment,tag
肖申克的救赎 The Shawshank Redemption,人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,策划了19年的私奔……,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,关于希望最强有力的注释。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,"“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。
当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？
经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,"超级喜欢超级喜欢,不看的话人生不圆满.",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,"Hope is a good thing, and maybe the best thing of all.",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,这样的男人谁会舍得背叛。。。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,"一部没有爱情与美女的电影,却光芒四射",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,"Fear Can Hold You Prisoner, Hope Can Set You Free",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,没有人会不喜欢吧！书和电影都好。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,还记得老brooks上吊自杀时心里有多难过。自由来的太晚，生命早已自行放弃。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,"当雷电劈开圣经扉页的刹那，污水管道的血污里开出了鸢尾花。那个墨西哥海岸的约定不是谎言，是囚徒用月光编织的绳梯，每个绳结都系着太平洋咸涩的潮汐。
有的鸟注定属于天空，有的琴弦永远颤动在休止符之外。安迪游向暴雨的姿态，像蝴蝶挣裂了琥珀的裹尸布。
当他撕开雨幕的瞬间，整个太平洋都听见了，人类心脏深处亘古回荡的潮声。
我们看见自己正从冰川纪的冻土里抽芽，而安迪的锤子，不过是春天叩击冻土的第一声心跳。
当狱警的枪声惊醒冬眠的蜥蜴，我们终于在肖申克的废墟里看见——所有镣铐都是水做的牢笼，而自由不过是场优雅的溺水。
真正的监狱从来不是有形的围墙，而是我们心中对体制的臣服。当我们学会在绝望中保持希望，在黑暗中寻找光明，就已经完成了精神的越狱。
原来，自由不在远方，而在每个人的心中。",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,"因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！

说起来，自打高一时看过《肖申克的救赎》，男主角安迪的精神就持续影响着我，成为我价值观的一部分。那种持续不断给有关机构写信申请图书馆的精神，那种拒绝“忙着活，忙着死”的人生的精神，那种迫不得已作恶却良心不泯正义终彰的精神，那种享受生命中每一刻微小的美好的精神，那种在困境中梦想着远方有一小块属于自己乐土的精神，那种甘于平凡且活得自在的精神。一言以蔽之，那种属于“人性的光辉”的精神。",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,绝对是期待过高导致有点失望,剧情 犯罪
